label	vocabulary_id	status	source	notes
ICD-10-CM	ICD10CM	mapped	litmine:pilot-2026-07;sets=117;papers=10	Direct.
ICD-9-CM	ICD9CM	mapped	litmine:pilot-2026-07;sets=69;papers=6	Direct. Diagnoses only - ICD-9-CM procedures (Volume 3) are the separate vocabulary ICD9Proc.
ICD-10	ICD10	mapped	litmine:pilot-2026-07;sets=49;papers=6	WHO ICD-10, a different vocabulary from ICD10CM with disjoint concept_ids. Best-effort: the litmine pilot found papers labelling WHO codes as ICD-10-CM and vice versa (E14.3, H36.0, X45 in SIDIAP/HES studies). The map resolves the LABEL; the concept table is the backstop that catches a mislabelled code.
NDC	NDC	mapped	litmine:pilot-2026-07;sets=33;papers=3	Direct. Both 9- and 11-digit forms occur; see the NDC format rows.
CPT	CPT4_HCPCS	mapped	litmine:pilot-2026-07;sets=23;papers=6	WIDENING and INTENTIONAL - do not "correct" this back to CPT4. The label says CPT, the target covers CPT+HCPCS. That is right for BINDING (a CPT code resolves in the hybrid) and loses nothing, because the verbatim label stays this row key. Mapping to CPT4 would re-create the split csc-171 exists to heal.
CPT-4	CPT4_HCPCS	mapped	litmine:pilot-2026-07;sets=6;papers=1	Same widening as CPT - intentional, do not narrow to CPT4.
HCPCS	CPT4_HCPCS	mapped	litmine:pilot-2026-07;sets=4;papers=2	Same widening as CPT - intentional, do not narrow to HCPCS.
CPT/HCPCS	CPT4_HCPCS	mapped	litmine:pilot-2026-07;sets=1;papers=1	Has no other home: the label names both vocabularies, and only the hybrid can bind it without a split.
ICD-10-PCS	ICD10PCS	mapped	litmine:pilot-2026-07;sets=22;papers=5	Direct.
ICD-9-PCS	ICD9Proc	mapped	litmine:pilot-2026-07;sets=13;papers=2	Target is ICD9Proc, NOT ICD9CM - a frequent error. Pilot codes arrived both dotted (43.7) and dotless (6662 = 66.62), so consumers need ICD9Proc.DOTLESS as well.
SNOMED	SNOMED	mapped	litmine:pilot-2026-07;sets=7;papers=1	Direct.
RxNorm	RxNorm	mapped	litmine:pilot-2026-07;sets=5;papers=1	Direct. RxNorm Extension is a separate vocabulary_id if an OMOP-minted drug concept is meant.
DRG	DRG	mapped	litmine:pilot-2026-07;sets=5;papers=2	Direct - all 26 distinct pilot codes exact-match DRG concept_codes. MS-DRG is not a vocabulary_id in the substrate; it also resolves here.
ATC	ATC	mapped	litmine:pilot-2026-07;sets=4;papers=1	Direct. Not EphMRA ATC, which is a separate vocabulary.
ICD-O-3 (morphology)	ICD03_Morphology	mapped	litmine:pilot-2026-07;sets=4;papers=1	UNCERTAIN - review. Stock ICDO3 is an alternative target, but it stores COMPOSITE histology-topography pairs, so the OI morphology-only split is the closer fit to a morphology label. Either way the pilot codes are bare 4-digit histology (8140), so binding needs ICD03_Morphology.NOBEHAVIOR - a raw join on the stored 8140/3 form matches none of them.
NHIS (Korean National Health Insurance Service) procedure code	EDI	mapped	litmine:pilot-2026-07;sets=10;papers=1	Evidence-based, not a guess: 52 of the 99 distinct pilot codes (HA401, HA402, ...) exact-match EDI concept_codes and the rest share its format. Korean NHIS claims are coded with the HIRA EDI system. Without this row these 10 code sets would have been gated out as unsupported.
Korean National Health Insurance procedure/reimbursement code (EDI)	EDI	mapped	litmine:pilot-2026-07;sets=3;papers=1	All 5 distinct pilot codes exact-match EDI concept_codes. Same target as the NHIS procedure-code label above.
mixed procedure codes (CPT, CPT Category III/PLA, HCPCS Level II, ICD-10-PCS); labeled only "Procedures" by the authors		multi_vocabulary	litmine:pilot-2026-07;sets=1;papers=1	FLAGGED, do not map. CPT4_HCPCS would silently drop the ICD-10-PCS members. This is a genuine multi-vocabulary set needing a producer-side SPLIT into per-vocabulary code sets (habitat rule 4), not a single mapping. Blank id here means "needs splitting", NOT "absent from OHDSI" - see status.
ICD-9-CM / ICD-10-CM (mixed; printed as one unlabeled list)		multi_vocabulary	litmine:pilot-2026-07;sets=1;papers=1	FLAGGED, do not map. Second multi-vocabulary label found in the pilot (the bead only anticipated the procedure one). Both vocabularies are fully supported; the set itself has to be split before either can bind.
Korean NHIS rare and incurable disease coverage code		unsupported	litmine:pilot-2026-07;sets=1;papers=1	Korean rare/intractable-disease special-copayment registration codes (V162). Checked against EDI, KCD7, KDC, KNHIS and Korean Revenue Code - no match. Not supported as of the June-2026 Athena build.
Japanese National Cancer Registry extent-of-disease codes (registry-specific)		unsupported	litmine:pilot-2026-07;sets=1;papers=1	Registry-specific Japanese extent-of-disease codes (410, 420, 430, 440). CAUTION: these 3-digit codes coincidentally exact-match NAACCR and DRG concept_codes 4/4 - a pure numeric collision, not a mapping. Resolve labels by meaning, never by testing which vocabulary happens to contain the code strings.
ICD-O-3 (grade/differentiation codes, as labelled by the paper)		unsupported	litmine:pilot-2026-07;sets=1;papers=1	The ICD-O-3 single-digit grade/differentiation axis (1-4, plus lymphoid lineage values) is not carried as a vocabulary in OHDSI; the Cancer Modifier vocabulary covers AJCC/FIGO/Gleason grading instead. Same collision caution as above: the single digits coincidentally match tiny numeric vocabularies.
